section,title,description,description_extended,img_path,link,tags,categories
Everything Else,What does Bigfoot look like?,"I went through more than 4,000 reports of bigfoot sightings to learn more.",,bigfoot-banner.webp,https://dlaiu.github.io/bigfoot/,scrollytelling; Qualitative Analysis,Data
Everything Else,The value of a game review,"IGN is famous for giving 7s. But is it actually true? I scraped about 13,000 of their reviews to find out.",,banner-photo.png,data-stories/ign-game-reviews,BeautifulSoup; Pandas; ai2html,Data; Personal Favs
Everything Else,How John Oliver does good journalism while making you laugh,I transcribed and annotated an episode of Last Week Tonight to argue why he's more of a journalist than a comedian,,john-oliver-thumb-2.png,https://dlaiu.github.io/john-oliver-narrative/,d3.js; Svelte,Data; Personal Favs
Everything Else,"When was the best SNL era, objectively",I came up with a metric to end the decades-long debate once and for all.,,snl-cast-thumb.png,https://dlaiu.github.io/snl-dream-team,Playwright; Pandas; ggplot,Data
Everything Else,Why do all malls in Singapore feel the same?,"If you've lived in Singapore, you know how important malls are. But do they all have to feel the same?",,mall-thumb.png,https://dlaiu.github.io/generic-malls-singapore/,Playwright; Pandas; fuzzywuzzy,Data
Everything Else,Here's where every WiFi hotspot is in NYC,Visualising every NYC WiFi in the city and counting them in each neighborhood.,,wifi-thumb.png,https://dlaiu.github.io/nyc-wifi-neighborhoods/,Mapbox; Javascript,Data
Everything Else,Here's how much your neighbours are selling their flat for,Public housing is the only thing Singaporeans my age ever talk about. Here's a handy tool to check how much they're being sold for.,,highest-hdb-price.png,https://dlaiu.github.io/latest-highest-hdb-resale-price/,APIs; Mapbox; geocoding,Data
Selected Work,Who should pick up the bill for climate damage?,Many developing countries argue that the world's biggest polluters have not paid their fair share of climate finance.,"Role: reporting, data analysis & visualization, filming, writing, filming, video editing

For this project, I was responsible for the reporting, the data analysis and visualization, the scripting, filming, and editing of the video.

During my team at BBC Studios, I pitched a number of data related video explainers. This video was done as part of coverage for COP29 in 2024.

The visualizations were done using Datawrapper, and then exported as svg to be superimposed on b-roll i filmed. I was experimenting alternative ways to visualize data in video. In other projects, I have done data visualization and animations in After Effects.

Watch the video <a href=""https://www.bbc.com/reel/video/p0k4y1h6/who-should-pick-up-the-bill-for-climate-damage-"" target=""_blank"">here.</a>",climate-finance-yt-thumb.jpg,https://www.bbc.com/reel/video/p0k4y1h6/who-should-pick-up-the-bill-for-climate-damage-,BBC; Final Cut Pro; DataWrapper,Video
Everything Else,The history of swing states in the US,Just seven states are expected to determine the 2024 US Presidential election. We explain why that matters.,,swing-states.jpeg,https://www.bbc.com/reel/video/p0jyrzsg/the-history-of-swing-states-in-the-us,BBC; After Effects; Illustrator,Video
Everything Else,Why 'snowy' New York winters are a bit of a myth,"New York City winters are often depicted as snowy wonderlands. Lately, that image doesn't seem accurate.",,new-york-snow.jpeg,https://www.bbc.com/reel/video/p0kpvtc0/why-snowy-new-york-winters-are-a-bit-of-a-myth,BBC; After Effects,Video; Personal Favs
Everything Else,Just how dangerous is space debris?,"In the past decade, the dramatic surge in satellite launches has left space cluttered with junk.",,space-junk-thumb.jpeg,https://www.bbc.com/reel/video/p0kqjv1n/how-the-us-supreme-court-works,BBC; After Effects,Video; Personal Favs
Everything Else,Why the Russia-Ukraine war isn't ending soon,Is the war even near a conclusion? How do wars even end? We speak to an expert to find out.,,ukraine-thumb.png,https://www.youtube.com/watch?v=MMdG73HUYpU,Mothership; Premiere Pro,Video
Everything Else,Straight to the Point with George Yeo,I sat down with the former Minister for Foreign Affairs to talk about the Singaporean identity.,,george-yeo-thumb.jpg,https://www.youtube.com/watch?v=UibCFxEfAwQ,Mothership; Presenting,Video
Everything Else,Why is TikTok so addictive?,STOP. Are you scrolling on social media right now and can't stop? It's not entirely your fault.,,WIITY1.jpg,https://www.youtube.com/watch?v=zKVdTcY9Yxw,Mothership; Presenting,Video; Personal Favs
Everything Else,How does one become the Prime Minister of Singapore?,We look at how past Prime Ministers were chosen.,,PM_thumb.png,https://www.youtube.com/watch?v=4ii5AILzsEw,Mothership; Scripting,Video
Everything Else,Is Singapore becoming too expensive to live in?,You've probably noticed that almost everything seems to be getting more expensive lately. Why?,,inflation-thumb.jpg,https://www.youtube.com/watch?v=4ii5AILzsEw,Mothership; Scripting,Video; Personal Favs
Everything Else,Why do Muslim women choose to wear the tudung?,We talk to 3 Muslim people about why they choose to wear the headscarf.,,muis-tudung-thumb-3.png,https://www.youtube.com/watch?v=l_MGGk1-ab4,Mothership; Filming,Video
Everything Else,Why Singapore is not ready for an endemic Covid-19,"At the cusp of opening up, Singaporeans were still arguing that we shouldn't. Why?",,endemic-thumb-2.png,https://www.youtube.com/watch?v=AC709_eYJmM,Mothership; Scripting,Video
Everything Else,3 first time S'pore Olympians on why Tokyo Games might also be their last,"Singapore's Olympians, unfiltered.",,olympians-cover.png,https://mothership.sg/2021/08/singapore-first-time-olympians-retiring/,Mothership,Writing; Personal Favs
Everything Else,Cancelling & cancel culture: Are they relevant to us in S'pore & why should we care?,"We look into their history, criticisms, and why understanding them concerns us.",,cancel-culture-explained-2.png,https://mothership.sg/2020/08/cancel-culture-explainer/,Mothership,Writing
Everything Else,Minimum wage vs Progressive Wage Model: What's the difference?,We look at the key differences between the Progressive Wage Model and the minimum wage.,,minwage-cover.png,https://mothership.sg/2020/07/minimum-wage-progressive-wage-model-differences/,Mothership,Writing
Everything Else,Key questions asked by MPs on police access to TraceTogether data,"Questions include the longevity of TraceTogether data, and instances where the data have been used.",,TT-cover.png,https://mothership.sg/2021/01/questions-trace-together-data/,Mothership,Writing
Everything Else,"If it walks like journalism, then it probably is: Rethinking what is journalism","At SRCCON 2025, I co-facilitated a discussion about the industry's gatekeeping of the definition of ""journalism"" and how it can excluded good work done in non-traditional formats.",,,https://2025.srccon.org/schedule/#_session-rethinking-journalism,SRCCON; talk!;,Presentations
